mlt,mlat_n,tec_n,mlat_s,tec_s,asy
13.125,13.0,74.75871211031176,-1.0,,
13.375,13.0,77.41984833729217,-1.0,,
13.625,13.0,79.8430149386845,-1.0,,
13.875,13.0,81.23714659863946,-8.0,66.15695101906641,20.46241447019995
14.125,13.0,81.28658067415729,-8.0,66.2049405460751,20.450857111389467
14.375,12.0,81.67150412595005,-8.0,66.81954884696016,20.00383859046294
14.625,13.0,81.03698308351177,-8.0,67.5465699517574,18.158689647907607
14.875,13.0,80.63731562853906,-8.0,67.79620870748299,17.302165367961646
15.125,13.0,79.7354233898305,-8.0,67.45230927636113,16.690404683828305
15.375,13.0,78.58272503008425,-10.0,66.79934476372925,16.210224937733575
15.625,13.0,76.50239003397509,-11.0,66.92006189865297,13.362382257728187
15.875,13.0,75.9468133194589,-11.0,67.10424402515724,12.362815708519406
16.125,13.0,73.79504299610895,-11.0,66.73087991293532,10.0538931706514
16.375,13.0,72.9802245693563,-10.0,66.14200969512196,9.830513304199174
16.625,13.0,71.37477115384615,-13.0,66.32546077922078,7.333771779091465
16.875,13.0,69.12826222435282,-13.0,65.53879773462783,5.330872287281439
17.125,13.0,67.5673638722555,-13.0,65.00742408616188,3.8618802647401673
17.375,13.0,66.12827041984734,-13.0,65.35256226912928,1.1799562489127673
17.625,13.0,63.003860270009646,-13.0,64.64035884330868,-2.564156190804379
17.875,14.0,61.22699252157239,-13.0,64.18235851648352,-4.71315092606501
18.125,14.0,59.22100264187868,-14.0,63.71069036697248,-7.304361658422033
18.375,16.0,56.37579210747271,-14.0,63.43695043771044,-11.786990565840464
18.625,16.0,55.71895399141631,-14.0,62.388677419354835,-11.294314090072012
18.875,15.0,55.67799715127701,-14.0,62.350289981096395,-11.306260544705088
19.125,15.0,56.56940992366412,-14.0,62.719003132832086,-10.310461932720083
19.375,15.0,58.236502941176475,-15.0,63.141787693222355,-8.082639368881855
19.625,15.0,58.024836870897154,-16.0,63.83118270042194,-9.529846535199662
19.875,15.0,59.59209287958115,-15.0,63.99325465838509,-7.122465351245418
20.125,15.0,61.31462569659443,-14.0,61.75762915147706,-0.7199079198305112
20.375,15.0,62.07205599582899,-14.0,60.30834224811083,2.8823468023082603
20.625,15.0,61.36812573306371,-14.0,58.48964700517464,4.803157379163853
20.875,14.0,58.878152419186655,-14.0,57.27466077538462,2.761003543006707
21.125,14.0,57.953648183760684,-14.0,55.243458517603464,4.788443353604831
21.375,13.0,55.413512354260085,-14.0,52.43417625691456,5.525081039218154
21.625,13.0,53.83059435318275,-14.0,49.32777113901064,8.729923535891734
21.875,13.0,51.10400824902724,-11.0,45.91187921865536,10.70366754538313
22.125,13.0,47.91588951977401,-11.0,43.907404010632014,8.730868508467609
22.375,11.0,47.04557469447139,-11.0,41.79328949619215,11.824296148151847
22.625,11.0,43.29694936410256,-11.0,40.505655885885886,6.661591175811465
22.875,11.0,40.44443189795919,-11.0,38.83962889253187,4.04823615094093
